@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL
@ATTRIBUTE class 	{Iris-setosa,Iris-versicolor,Iris-virginica}

@DATA
5.2121,3.528,1.4083,0.201,Iris-setosa
5.1,3.5122,1.3812,0.2173,Iris-setosa
5.156,3.5201,1.3947,0.2091,Iris-setosa
5.1586,3.507,1.4161,0.2004,Iris-setosa
5.059,3.561,1.3492,0.2245,Iris-setosa
5.1088,3.534,1.3826,0.2124,Iris-setosa
5.0158,3.5455,1.3985,0.2026,Iris-setosa
5.0883,3.5122,1.4601,0.2263,Iris-setosa
5.052,3.5288,1.4293,0.2144,Iris-setosa
5.1433,3.556,1.4273,0.2002,Iris-setosa
5.1818,3.445,1.3962,0.2203,Iris-setosa
5.1625,3.5005,1.4117,0.2102,Iris-setosa
5.0311,3.4842,1.4238,0.2048,Iris-setosa
5.2694,3.4969,1.415,0.1976,Iris-setosa
5.1502,3.4905,1.4194,0.2012,Iris-setosa
5.0234,3.444,1.4349,0.2016,Iris-setosa
5.0649,3.4633,1.4714,0.1808,Iris-setosa
5.0441,3.4536,1.4531,0.1911,Iris-setosa
5.1407,3.5787,1.3769,0.1965,Iris-setosa
5.2343,3.4496,1.3398,0.191,Iris-setosa
5.1875,3.5141,1.3583,0.1937,Iris-setosa
5.0617,3.5385,1.3838,0.2002,Iris-setosa
5.024,3.529,1.4432,0.1958,Iris-setosa
5.0428,3.5337,1.4135,0.198,Iris-setosa
5.1739,3.43,1.4091,0.2047,Iris-setosa
5.1204,3.5794,1.4432,0.1934,Iris-setosa
5.1471,3.5047,1.4261,0.199,Iris-setosa
5.2275,3.507,1.3748,0.2013,Iris-setosa
5.1438,3.4786,1.4338,0.2101,Iris-setosa
5.1856,3.4928,1.4043,0.2057,Iris-setosa
5.1025,3.5997,1.4399,0.2013,Iris-setosa
5.0269,3.4847,1.4864,0.2113,Iris-setosa
5.0647,3.5422,1.4631,0.2063,Iris-setosa
5.1127,3.4755,1.4363,0.1979,Iris-setosa
5.1613,3.4923,1.3699,0.2053,Iris-setosa
