@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL
@ATTRIBUTE class 	{Iris-setosa,Iris-versicolor,Iris-virginica}

@DATA
5.1428,3.416,1.3949,0.1992,Iris-setosa
5.1946,3.5366,1.4157,0.2187,Iris-setosa
5.1687,3.4763,1.4053,0.2089,Iris-setosa
5.0449,3.4286,1.4201,0.1991,Iris-setosa
5.156,3.5824,1.3188,0.192,Iris-setosa
5.1004,3.5054,1.3694,0.1955,Iris-setosa
5.2101,3.5567,1.41,0.2012,Iris-setosa
4.9878,3.4926,1.3819,0.1856,Iris-setosa
5.0989,3.5246,1.3959,0.1933,Iris-setosa
5.0418,3.5651,1.4167,0.2052,Iris-setosa
5.0368,3.4945,1.4315,0.1697,Iris-setosa
5.0393,3.5298,1.4241,0.1874,Iris-setosa
5.1305,3.437,1.4125,0.2039,Iris-setosa
5.1175,3.5183,1.3842,0.2014,Iris-setosa
5.124,3.4776,1.3983,0.2026,Iris-setosa
5.1428,3.4118,1.3949,0.1979,Iris-setosa
4.9808,3.5146,1.4721,0.2316,Iris-setosa
5.0618,3.4632,1.4335,0.2147,Iris-setosa
5.2346,3.4559,1.3605,0.1965,Iris-setosa
5.2191,3.4175,1.409,0.2258,Iris-setosa
5.2268,3.4367,1.3847,0.2111,Iris-setosa
5.1581,3.5546,1.3966,0.2028,Iris-setosa
4.9983,3.5696,1.33,0.1661,Iris-setosa
5.0782,3.5621,1.3633,0.1844,Iris-setosa
5.2468,3.4643,1.3932,0.2004,Iris-setosa
5.2647,3.5293,1.3368,0.2287,Iris-setosa
5.2557,3.4968,1.365,0.2145,Iris-setosa
4.9561,3.563,1.3596,0.201,Iris-setosa
5.0053,3.5513,1.4315,0.1755,Iris-setosa
4.9807,3.5571,1.3955,0.1882,Iris-setosa
5.0051,3.5189,1.389,0.1996,Iris-setosa
5.2121,3.4633,1.409,0.2352,Iris-setosa
5.1086,3.4911,1.399,0.2174,Iris-setosa
5.0204,3.4538,1.3949,0.2054,Iris-setosa
5.0263,3.5183,1.427,0.1935,Iris-setosa
5.0233,3.486,1.4109,0.1994,Iris-setosa
5.2223,3.5441,1.4361,0.205,Iris-setosa
5.0894,3.4541,1.4608,0.1899,Iris-setosa
5.1558,3.4991,1.4484,0.1974,Iris-setosa
5.1826,3.5483,1.3924,0.1994,Iris-setosa
4.9247,3.5751,1.436,0.2107,Iris-setosa
5.0536,3.5617,1.4142,0.205,Iris-setosa
