@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL
@ATTRIBUTE class 	{Iris-setosa,Iris-versicolor,Iris-virginica}

@DATA
5.1367,3.4433,1.3117,0.2,Iris-setosa
4.6687,3.6814,1.3932,0.2539,Iris-setosa
4.9027,3.5623,1.3524,0.2269,Iris-setosa
5.4396,3.3047,1.3319,0.1971,Iris-setosa
5.0894,3.7528,1.6165,0.1978,Iris-setosa
5.2645,3.5287,1.4742,0.1974,Iris-setosa
4.8888,3.311,1.4403,0.2129,Iris-setosa
4.837,3.7033,1.4202,0.2302,Iris-setosa
4.8629,3.5071,1.4302,0.2215,Iris-setosa
4.696,3.5315,1.41,0.2018,Iris-setosa
4.6687,3.5494,1.427,0.2086,Iris-setosa
4.6823,3.5404,1.4184,0.2052,Iris-setosa
5.0449,3.4118,1.3621,0.2075,Iris-setosa
5.5522,3.5494,1.6977,0.2582,Iris-setosa
5.2985,3.4806,1.5299,0.2328,Iris-setosa
4.8521,3.2416,1.5184,0.209,Iris-setosa
5.1315,3.7473,1.3188,0.282,Iris-setosa
4.9917,3.4944,1.4186,0.2455,Iris-setosa
5.1183,3.6638,1.3269,0.1906,Iris-setosa
5.2893,3.2746,1.4067,0.2582,Iris-setosa
5.2037,3.4692,1.3668,0.2244,Iris-setosa
4.898,3.2039,1.4403,0.205,Iris-setosa
4.9212,3.3405,1.6909,0.2215,Iris-setosa
4.9095,3.2721,1.5655,0.2132,Iris-setosa
4.7327,3.6638,1.4378,0.1852,Iris-setosa
5.121,3.434,1.4,0.2194,Iris-setosa
4.9268,3.5489,1.4188,0.2023,Iris-setosa
5.3019,3.5,1.3899,0.1841,Iris-setosa
5.0158,3.7528,1.197,0.2151,Iris-setosa
5.1588,3.6264,1.2934,0.1996,Iris-setosa
5.0541,3.7205,1.3747,0.1989,Iris-setosa
4.9843,3.6154,1.0819,0.2496,Iris-setosa
5.0192,3.6679,1.2283,0.2242,Iris-setosa
5.1918,3.8087,1.4151,0.196,Iris-setosa
4.8686,3.3021,1.7315,0.1201,Iris-setosa
5.0302,3.5554,1.5733,0.158,Iris-setosa
4.8796,3.5252,1.3496,0.183,Iris-setosa
5.0053,3.4285,1.1631,0.1223,Iris-setosa
4.9424,3.4768,1.2563,0.1526,Iris-setosa
5.1275,3.5378,1.4327,0.2158,Iris-setosa
5.4575,3.7748,1.3932,0.1244,Iris-setosa
5.2925,3.6563,1.4129,0.1701,Iris-setosa
4.7878,3.7079,1.4,0.1946,Iris-setosa
5.447,3.7088,1.1496,0.1827,Iris-setosa
5.1174,3.7083,1.2748,0.1886,Iris-setosa
4.641,3.5819,1.4957,0.1989,Iris-setosa
5.4681,3.5879,1.5217,0.2496,Iris-setosa
5.0545,3.5849,1.5087,0.2242,Iris-setosa
5.1091,3.4811,1.3722,0.1881,Iris-setosa
4.8896,3.6594,1.4676,0.3035,Iris-setosa
4.9993,3.5702,1.4199,0.2458,Iris-setosa
5.4121,3.6134,1.3117,0.2108,Iris-setosa
4.6793,3.357,1.0616,0.1158,Iris-setosa
5.0457,3.4852,1.1866,0.1633,Iris-setosa
5.0908,3.626,1.3168,0.1996,Iris-setosa
5.2472,3.5274,1.2579,0.105,Iris-setosa
5.169,3.5767,1.2873,0.1523,Iris-setosa
5.3294,3.7709,1.468,0.2046,Iris-setosa
