@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL
@ATTRIBUTE class 	{Iris-setosa,Iris-versicolor,Iris-virginica}

@DATA
5.4371,3.745,1.4161,0.2007,Iris-setosa
4.9089,3.6621,1.3943,0.2543,Iris-setosa
5.173,3.7035,1.4052,0.2275,Iris-setosa
5.1785,3.4128,1.3851,0.2082,Iris-setosa
5.0456,3.5311,1.3503,0.2137,Iris-setosa
5.112,3.4719,1.3677,0.2109,Iris-setosa
4.9531,3.3446,1.4306,0.2114,Iris-setosa
5.433,3.5549,1.2037,0.2387,Iris-setosa
5.193,3.4497,1.3171,0.225,Iris-setosa
4.9133,3.4083,1.4925,0.2028,Iris-setosa
5.0,3.5271,1.2526,0.1685,Iris-setosa
4.9566,3.4677,1.3725,0.1856,Iris-setosa
5.1321,3.3946,1.3596,0.2007,Iris-setosa
5.2659,3.6581,1.5458,0.2278,Iris-setosa
5.199,3.5263,1.4527,0.2142,Iris-setosa
5.1918,3.6767,1.3924,0.1942,Iris-setosa
5.2431,3.7098,1.5409,0.1904,Iris-setosa
5.2174,3.6932,1.4666,0.1923,Iris-setosa
4.8735,3.4265,1.4488,0.1997,Iris-setosa
4.9924,3.3683,1.1793,0.2434,Iris-setosa
4.9329,3.3974,1.314,0.2215,Iris-setosa
5.0525,3.3218,1.4306,0.2012,Iris-setosa
5.0304,3.3445,1.2917,0.1748,Iris-setosa
5.0414,3.3331,1.3611,0.188,Iris-setosa
5.1255,3.4856,1.4306,0.19,Iris-setosa
5.4026,3.6939,1.3161,0.2184,Iris-setosa
5.264,3.5897,1.3733,0.2042,Iris-setosa
5.1851,3.7131,1.3724,0.2134,Iris-setosa
4.9089,3.4795,1.4774,0.1514,Iris-setosa
5.047,3.5963,1.4249,0.1824,Iris-setosa
4.8735,3.654,1.3833,0.2075,Iris-setosa
4.9089,3.3882,1.6631,0.2667,Iris-setosa
4.8911,3.5211,1.5232,0.2371,Iris-setosa
5.3442,3.3309,1.3287,0.1981,Iris-setosa
5.3798,3.3921,1.2721,0.2091,Iris-setosa
5.362,3.3615,1.3004,0.2036,Iris-setosa
5.457,3.6358,1.4779,0.2082,Iris-setosa
5.1216,3.6462,1.2819,0.2558,Iris-setosa
5.2893,3.641,1.3799,0.232,Iris-setosa
5.1122,3.5038,1.3833,0.1926,Iris-setosa
5.2203,3.5232,1.4383,0.2153,Iris-setosa
5.1662,3.5135,1.4108,0.2039,Iris-setosa
5.152,3.381,1.4888,0.2056,Iris-setosa
5.1747,3.3842,1.4823,0.1732,Iris-setosa
5.1633,3.3826,1.4855,0.1894,Iris-setosa
5.4172,3.5266,1.4561,0.1997,Iris-setosa
5.4938,3.5668,1.58,0.2683,Iris-setosa
5.4555,3.5467,1.518,0.234,Iris-setosa
5.0592,3.5084,1.3269,0.189,Iris-setosa
5.1368,3.6899,1.4872,0.234,Iris-setosa
5.098,3.5991,1.407,0.2115,Iris-setosa
5.2382,3.4174,1.4069,0.188,Iris-setosa
5.4026,3.412,1.6386,0.1982,Iris-setosa
5.3203,3.4147,1.5227,0.1931,Iris-setosa
5.1453,3.5493,1.3815,0.1934,Iris-setosa
5.038,3.4954,1.2379,0.1342,Iris-setosa
5.0916,3.5223,1.3096,0.1638,Iris-setosa
5.2846,3.2991,1.3232,0.1932,Iris-setosa
4.8253,3.5232,1.2379,0.1982,Iris-setosa
5.0549,3.4111,1.2805,0.1956,Iris-setosa
5.152,3.5675,1.3232,0.1911,Iris-setosa
5.2507,3.3445,1.6191,0.2823,Iris-setosa
5.2013,3.456,1.4711,0.2367,Iris-setosa
5.0592,3.6312,1.4197,0.2108,Iris-setosa
5.1292,3.4279,1.2037,0.2745,Iris-setosa
5.0942,3.5295,1.3117,0.2426,Iris-setosa
5.0724,3.6949,1.3979,0.2002,Iris-setosa
4.8405,3.5668,1.3454,0.1872,Iris-setosa
4.9564,3.6308,1.3716,0.1936,Iris-setosa
5.1255,3.6312,1.3778,0.2111,Iris-setosa
4.8709,3.5827,1.6289,0.2075,Iris-setosa
4.9982,3.6069,1.5033,0.2093,Iris-setosa
4.8404,3.4265,1.4379,0.1989,Iris-setosa
5.433,3.4914,1.2184,0.1794,Iris-setosa
5.1366,3.4589,1.3281,0.1891,Iris-setosa
5.3111,3.5766,1.3615,0.2072,Iris-setosa
5.395,3.6304,1.277,0.1717,Iris-setosa
5.353,3.6035,1.3192,0.1894,Iris-setosa
4.9133,3.745,1.3742,0.1919,Iris-setosa
5.4558,3.6026,1.5556,0.2558,Iris-setosa
5.1845,3.6738,1.4649,0.2238,Iris-setosa
5.2912,3.4993,1.376,0.1937,Iris-setosa
4.8785,3.4279,1.4139,0.195,Iris-setosa
5.0848,3.4636,1.3949,0.1943,Iris-setosa
5.0127,3.4629,1.3669,0.208,Iris-setosa
5.433,3.4835,1.1988,0.2278,Iris-setosa
5.2228,3.4732,1.2828,0.2179,Iris-setosa
4.847,3.5903,1.4088,0.2098,Iris-setosa
5.3874,3.4715,1.4872,0.1576,Iris-setosa
5.1172,3.5309,1.448,0.1836,Iris-setosa
5.4503,3.5129,1.4688,0.2116,Iris-setosa
5.1368,3.4001,1.536,0.1701,Iris-setosa
5.2935,3.4565,1.5024,0.1908,Iris-setosa
5.3177,3.4128,1.3305,0.1984,Iris-setosa
5.3419,3.551,1.6338,0.2371,Iris-setosa
5.3298,3.4819,1.4821,0.2177,Iris-setosa
5.3509,3.4583,1.3924,0.1973,Iris-setosa
5.0836,3.6859,1.4578,0.2745,Iris-setosa
5.2172,3.5721,1.4251,0.2359,Iris-setosa
4.8934,3.5084,1.3815,0.2056,Iris-setosa
5.2659,3.5946,1.5702,0.2371,Iris-setosa
5.0796,3.5515,1.4758,0.2213,Iris-setosa
5.3641,3.29,1.3797,0.1895,Iris-setosa
5.3115,3.412,1.4872,0.2558,Iris-setosa
5.3378,3.351,1.4334,0.2226,Iris-setosa
5.2249,3.6403,1.4179,0.1981,Iris-setosa
4.7949,3.6502,1.6484,0.1701,Iris-setosa
5.0099,3.6452,1.5331,0.184,Iris-setosa
4.9199,3.7222,1.4816,0.1911,Iris-setosa
5.2811,3.6145,1.2233,0.2714,Iris-setosa
5.1005,3.6683,1.3524,0.2312,Iris-setosa
5.0326,3.522,1.3979,0.1934,Iris-setosa
4.9165,3.3644,1.5996,0.2511,Iris-setosa
4.9745,3.4432,1.4987,0.2222,Iris-setosa
5.4039,3.563,1.3633,0.2072,Iris-setosa
4.9165,3.4755,1.3454,0.1436,Iris-setosa
5.1602,3.5192,1.3543,0.1754,Iris-setosa
5.026,3.3264,1.3924,0.2119,Iris-setosa
4.9924,3.678,1.3406,0.2589,Iris-setosa
5.0092,3.5022,1.3665,0.2354,Iris-setosa
5.0724,3.3946,1.4597,0.1934,Iris-setosa
4.8861,3.3326,1.6435,0.2699,Iris-setosa
4.9792,3.3636,1.5516,0.2316,Iris-setosa
5.2448,3.4265,1.3669,0.2025,Iris-setosa
4.7873,3.4041,1.4236,0.1857,Iris-setosa
5.016,3.4153,1.3952,0.1941,Iris-setosa
5.4039,3.4993,1.4634,0.2095,Iris-setosa
5.5014,3.5748,1.6582,0.1342,Iris-setosa
5.4526,3.537,1.5608,0.1718,Iris-setosa
4.8404,3.4765,1.4725,0.2036,Iris-setosa
