@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL
@ATTRIBUTE class 	{Iris-setosa,Iris-versicolor,Iris-virginica}

@DATA
5.0592,3.3824,1.4112,0.1929,Iris-setosa
5.3711,3.3827,1.4421,0.2575,Iris-setosa
5.2151,3.3825,1.4266,0.2252,Iris-setosa
4.9776,3.6176,1.4985,0.206,Iris-setosa
5.3991,3.2849,1.6165,0.1424,Iris-setosa
5.1883,3.4512,1.5575,0.1742,Iris-setosa
5.0836,3.5392,1.3776,0.2064,Iris-setosa
4.7914,3.3534,1.6886,0.1405,Iris-setosa
4.9375,3.4463,1.5331,0.1734,Iris-setosa
4.9123,3.6064,1.4873,0.207,Iris-setosa
4.9784,3.583,1.2676,0.104,Iris-setosa
4.9453,3.5947,1.3774,0.1555,Iris-setosa
4.8715,3.4776,1.3395,0.1958,Iris-setosa
4.6699,3.3094,1.3458,0.2517,Iris-setosa
4.7707,3.3935,1.3426,0.2237,Iris-setosa
4.9694,3.2648,1.4447,0.2134,Iris-setosa
5.3991,3.6123,1.5684,0.2076,Iris-setosa
5.1842,3.4385,1.5065,0.2105,Iris-setosa
5.2631,3.248,1.3641,0.1974,Iris-setosa
5.1,3.4609,1.4421,0.2709,Iris-setosa
5.1815,3.3544,1.4031,0.2341,Iris-setosa
5.0265,3.7352,1.3955,0.207,Iris-setosa
5.4833,3.5537,1.1353,0.2364,Iris-setosa
5.2549,3.6444,1.2654,0.2217,Iris-setosa
4.8307,3.332,1.4851,0.1894,Iris-setosa
5.2776,3.3143,1.424,0.1923,Iris-setosa
5.0541,3.3231,1.4545,0.1908,Iris-setosa
5.4508,3.4048,1.4336,0.1872,Iris-setosa
5.2963,3.3924,1.6285,0.2748,Iris-setosa
5.3735,3.3986,1.531,0.231,Iris-setosa
5.0918,3.6624,1.4806,0.1868,Iris-setosa
4.9223,3.5537,1.5864,0.2652,Iris-setosa
5.007,3.608,1.5335,0.226,Iris-setosa
5.002,3.3488,1.3148,0.2041,Iris-setosa
5.0158,3.7101,1.3699,0.1923,Iris-setosa
5.0089,3.5294,1.3423,0.1981,Iris-setosa
5.4508,3.5448,1.335,0.2032,Iris-setosa
5.2215,3.456,1.5864,0.1443,Iris-setosa
5.3361,3.5004,1.4607,0.1737,Iris-setosa
5.3447,3.3656,1.4425,0.1964,Iris-setosa
5.0345,3.6807,1.3338,0.1654,Iris-setosa
5.1896,3.5231,1.3881,0.1809,Iris-setosa
5.3611,3.248,1.4134,0.2099,Iris-setosa
4.7914,3.3973,1.5202,0.2882,Iris-setosa
5.0762,3.3226,1.4668,0.249,Iris-setosa
5.2223,3.2984,1.3014,0.2105,Iris-setosa
5.2869,3.3485,1.1113,0.2057,Iris-setosa
5.2546,3.3234,1.2063,0.2081,Iris-setosa
4.7246,3.248,1.4134,0.2153,Iris-setosa
4.7166,3.5146,1.5563,0.1808,Iris-setosa
4.7205,3.3813,1.4848,0.198,Iris-setosa
