@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL
@ATTRIBUTE class 	{Iris-setosa,Iris-versicolor,Iris-virginica}

@DATA
4.9862,3.4856,1.4256,0.201,Iris-setosa
4.9533,3.4233,1.2951,0.2118,Iris-setosa
4.9697,3.4544,1.3603,0.2064,Iris-setosa
5.0326,3.4611,1.455,0.2077,Iris-setosa
5.2723,3.5772,1.5108,0.1992,Iris-setosa
5.1524,3.5191,1.4828,0.2034,Iris-setosa
4.9898,3.5959,1.404,0.1982,Iris-setosa
4.9615,3.4703,1.3924,0.2412,Iris-setosa
4.9756,3.5331,1.3982,0.2197,Iris-setosa
5.1683,3.5077,1.3677,0.1958,Iris-setosa
5.1496,3.59,1.5424,0.1824,Iris-setosa
5.1589,3.5488,1.455,0.1891,Iris-setosa
5.0862,3.493,1.4324,0.2031,Iris-setosa
4.9288,3.4126,1.3082,0.1908,Iris-setosa
5.0075,3.4528,1.3702,0.1969,Iris-setosa
5.2004,3.395,1.404,0.2004,Iris-setosa
5.2437,3.5259,1.3582,0.2026,Iris-setosa
5.222,3.4604,1.3811,0.2015,Iris-setosa
4.947,3.4685,1.3638,0.1958,Iris-setosa
5.0228,3.59,1.3214,0.1908,Iris-setosa
4.9849,3.5292,1.3426,0.1933,Iris-setosa
5.2468,3.4415,1.4089,0.1969,Iris-setosa
5.2928,3.5708,1.4398,0.2093,Iris-setosa
5.2698,3.5061,1.4243,0.2031,Iris-setosa
5.1433,3.5983,1.4138,0.2047,Iris-setosa
5.0924,3.5003,1.545,0.2395,Iris-setosa
5.1178,3.5493,1.4794,0.2221,Iris-setosa
5.104,3.4538,1.3844,0.2017,Iris-setosa
5.1087,3.4532,1.4951,0.1757,Iris-setosa
5.1063,3.4535,1.4397,0.1886,Iris-setosa
5.1255,3.5493,1.4295,0.1941,Iris-setosa
5.0555,3.4318,1.5293,0.2202,Iris-setosa
5.0905,3.4905,1.4794,0.2071,Iris-setosa
4.9862,3.5836,1.4285,0.1968,Iris-setosa
5.1333,3.5494,1.5003,0.1808,Iris-setosa
5.0597,3.5665,1.4644,0.1888,Iris-setosa
5.2683,3.6277,1.3942,0.2021,Iris-setosa
4.9451,3.558,1.3635,0.1749,Iris-setosa
5.1067,3.5928,1.3788,0.1885,Iris-setosa
5.0469,3.4807,1.3972,0.2033,Iris-setosa
5.2682,3.5003,1.2872,0.2303,Iris-setosa
5.1575,3.4905,1.3422,0.2168,Iris-setosa
5.0041,3.4048,1.4236,0.2038,Iris-setosa
5.1046,3.4532,1.3688,0.2437,Iris-setosa
5.0543,3.429,1.3961,0.2237,Iris-setosa
5.1362,3.5959,1.3707,0.1949,Iris-setosa
4.9615,3.4596,1.5187,0.2026,Iris-setosa
5.0488,3.5277,1.4447,0.1987,Iris-setosa
4.9898,3.5812,1.3893,0.2068,Iris-setosa
5.166,3.5922,1.403,0.232,Iris-setosa
5.0779,3.5867,1.3961,0.2194,Iris-setosa
5.0362,3.5126,1.4422,0.2003,Iris-setosa
4.9574,3.4083,1.4556,0.2395,Iris-setosa
4.9968,3.4604,1.4489,0.2199,Iris-setosa
5.0433,3.5542,1.4413,0.2017,Iris-setosa
5.1128,3.4618,1.5082,0.2202,Iris-setosa
5.078,3.508,1.4747,0.2109,Iris-setosa
4.9826,3.4538,1.4354,0.2014,Iris-setosa
5.0433,3.5045,1.4635,0.2446,Iris-setosa
5.0129,3.4791,1.4494,0.223,Iris-setosa
