@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL
@ATTRIBUTE class 	{Iris-setosa,Iris-versicolor,Iris-virginica}

@DATA
4.9067,3.3866,1.3392,0.2023,Iris-setosa
5.0713,3.4917,1.3567,0.2284,Iris-setosa
4.989,3.4391,1.3479,0.2153,Iris-setosa
5.0413,3.6715,1.3869,0.2023,Iris-setosa
5.3927,3.4144,1.5511,0.2561,Iris-setosa
5.217,3.5429,1.4689,0.2292,Iris-setosa
5.333,3.3866,1.41,0.1924,Iris-setosa
4.8399,3.6798,1.5635,0.264,Iris-setosa
5.0864,3.5332,1.4867,0.2282,Iris-setosa
5.0076,3.6522,1.4085,0.193,Iris-setosa
5.2706,3.3573,1.2988,0.26,Iris-setosa
5.1391,3.5047,1.3536,0.2265,Iris-setosa
5.204,3.5675,1.4424,0.2067,Iris-setosa
5.3156,3.5958,1.5469,0.227,Iris-setosa
5.2598,3.5816,1.4946,0.2168,Iris-setosa
5.1142,3.6561,1.4039,0.2058,Iris-setosa
5.4312,3.5555,1.2161,0.1624,Iris-setosa
5.2727,3.6058,1.31,0.184,Iris-setosa
4.8842,3.3558,1.3654,0.2012,Iris-setosa
4.8721,3.4984,1.5676,0.1703,Iris-setosa
4.8781,3.4271,1.4665,0.1857,Iris-setosa
5.3106,3.6099,1.3746,0.2058,Iris-setosa
5.4312,3.3674,1.3567,0.2455,Iris-setosa
5.3709,3.4886,1.3656,0.2256,Iris-setosa
5.0132,3.5406,1.4809,0.2076,Iris-setosa
5.3863,3.5387,1.4229,0.2244,Iris-setosa
5.1997,3.5396,1.4519,0.216,Iris-setosa
5.406,3.5868,1.3299,0.1966,Iris-setosa
5.3348,3.6194,1.5759,0.2205,Iris-setosa
5.3704,3.6031,1.4529,0.2085,Iris-setosa
5.2601,3.6022,1.4501,0.2036,Iris-setosa
5.0777,3.4749,1.4766,0.1545,Iris-setosa
5.1689,3.5385,1.4633,0.179,Iris-setosa
4.8562,3.5714,1.4793,0.1939,Iris-setosa
4.8207,3.616,1.5263,0.198,Iris-setosa
4.8384,3.5937,1.5028,0.1959,Iris-setosa
5.3499,3.5868,1.4069,0.2087,Iris-setosa
4.8528,3.5555,1.5428,0.2534,Iris-setosa
5.1013,3.5711,1.4748,0.231,Iris-setosa
5.3835,3.6099,1.4254,0.2076,Iris-setosa
5.4505,3.3607,1.4849,0.198,Iris-setosa
5.417,3.4853,1.4551,0.2028,Iris-setosa
4.8674,3.529,1.467,0.2091,Iris-setosa
5.3605,3.354,1.2203,0.2693,Iris-setosa
5.1139,3.4415,1.3436,0.2392,Iris-setosa
5.1423,3.3327,1.4547,0.1926,Iris-setosa
5.0263,3.6698,1.5759,0.1743,Iris-setosa
5.0843,3.5012,1.5153,0.1834,Iris-setosa
5.232,3.4674,1.4193,0.1983,Iris-setosa
5.2191,3.532,1.3815,0.1545,Iris-setosa
5.2255,3.4997,1.4003,0.1764,Iris-setosa
5.2825,3.4944,1.4162,0.1933,Iris-setosa
5.1099,3.6731,1.2782,0.2257,Iris-setosa
5.1961,3.5837,1.3472,0.2095,Iris-setosa
5.2264,3.4944,1.4208,0.2087,Iris-setosa
4.9042,3.5891,1.4601,0.1651,Iris-setosa
5.0653,3.5417,1.4404,0.1869,Iris-setosa
5.3555,3.6599,1.4193,0.1955,Iris-setosa
4.9171,3.6731,1.2161,0.26,Iris-setosa
5.1363,3.6665,1.3176,0.2277,Iris-setosa
5.0245,3.3673,1.3361,0.206,Iris-setosa
5.1677,3.663,1.3733,0.2495,Iris-setosa
5.0961,3.5151,1.3547,0.2277,Iris-setosa
5.232,3.5906,1.3454,0.1974,Iris-setosa
5.3027,3.5555,1.5014,0.2376,Iris-setosa
5.2673,3.573,1.4234,0.2175,Iris-setosa
5.0413,3.4058,1.4331,0.1961,Iris-setosa
4.9235,3.6664,1.3526,0.2323,Iris-setosa
4.9824,3.5361,1.3928,0.2142,Iris-setosa
5.1984,3.5175,1.3715,0.2091,Iris-setosa
5.2898,3.4984,1.6255,0.2323,Iris-setosa
5.244,3.5079,1.4985,0.2207,Iris-setosa
4.9459,3.5906,1.3931,0.1957,Iris-setosa
5.0328,3.3674,1.5263,0.2323,Iris-setosa
4.9893,3.479,1.4597,0.214,Iris-setosa
5.232,3.5406,1.3731,0.1952,Iris-setosa
4.8592,3.3708,1.4229,0.1453,Iris-setosa
5.0456,3.4557,1.398,0.1702,Iris-setosa
4.8954,3.5945,1.3684,0.1988,Iris-setosa
5.2449,3.5186,1.2906,0.1519,Iris-setosa
5.0701,3.5565,1.3294,0.1753,Iris-setosa
4.9571,3.6445,1.3315,0.208,Iris-setosa
4.8399,3.4144,1.4353,0.2561,Iris-setosa
4.8985,3.5294,1.3834,0.232,Iris-setosa
5.406,3.5213,1.3869,0.1919,Iris-setosa
5.0649,3.6261,1.2988,0.1717,Iris-setosa
5.2354,3.5737,1.3428,0.1818,Iris-setosa
5.0357,3.5637,1.3592,0.2049,Iris-setosa
5.3156,3.3473,1.4849,0.2191,Iris-setosa
5.1756,3.4555,1.422,0.212,Iris-setosa
5.2433,3.5829,1.4439,0.2089,Iris-setosa
5.1356,3.5656,1.5511,0.2033,Iris-setosa
5.1894,3.5742,1.4975,0.2061,Iris-setosa
5.0245,3.4328,1.3993,0.1924,Iris-setosa
5.2127,3.4548,1.5138,0.1703,Iris-setosa
5.1186,3.4438,1.4565,0.1813,Iris-setosa
5.0076,3.4905,1.3577,0.2056,Iris-setosa
4.8464,3.4749,1.5428,0.2587,Iris-setosa
4.9269,3.4827,1.4502,0.2321,Iris-setosa
4.8898,3.4982,1.467,0.2034,Iris-setosa
5.0199,3.364,1.2533,0.2481,Iris-setosa
4.9548,3.4311,1.3601,0.2257,Iris-setosa
5.0301,3.3904,1.3376,0.2084,Iris-setosa
4.8592,3.5757,1.4063,0.1651,Iris-setosa
4.9446,3.483,1.3719,0.1867,Iris-setosa
4.9628,3.4482,1.333,0.2087,Iris-setosa
5.2256,3.5085,1.2864,0.26,Iris-setosa
5.0942,3.4783,1.3096,0.2343,Iris-setosa
4.9235,3.6214,1.3407,0.1952,Iris-setosa
4.8849,3.6496,1.4518,0.14,Iris-setosa
4.9041,3.6355,1.3962,0.1676,Iris-setosa
5.232,3.3712,1.4562,0.2038,Iris-setosa
4.9813,3.6597,1.4229,0.14,Iris-setosa
5.1066,3.5154,1.4395,0.1719,Iris-setosa
5.2938,3.3635,1.3808,0.2109,Iris-setosa
4.8528,3.5958,1.4477,0.1769,Iris-setosa
5.0733,3.4796,1.4142,0.1939,Iris-setosa
5.0076,3.3519,1.3761,0.2054,Iris-setosa
4.8399,3.3708,1.5924,0.1703,Iris-setosa
4.9237,3.3613,1.4842,0.1878,Iris-setosa
5.0581,3.4289,1.4655,0.1952,Iris-setosa
5.1484,3.5119,1.5304,0.1479,Iris-setosa
5.1032,3.4704,1.4979,0.1715,Iris-setosa
4.9852,3.5829,1.4639,0.2038,Iris-setosa
5.4377,3.532,1.4518,0.2059,Iris-setosa
5.2114,3.5574,1.4578,0.2048,Iris-setosa
4.9123,3.3288,1.3761,0.2115,Iris-setosa
5.3284,3.6429,1.518,0.1637,Iris-setosa
