@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL
@ATTRIBUTE class 	{Iris-setosa,Iris-versicolor,Iris-virginica}

@DATA
5.0336,3.4324,1.4006,0.1983,Iris-setosa
5.0713,3.485,1.5236,0.2448,Iris-setosa
5.0524,3.4587,1.4621,0.2215,Iris-setosa
5.3549,3.4734,1.3452,0.206,Iris-setosa
4.9083,3.5949,1.439,0.2059,Iris-setosa
5.1316,3.5341,1.3921,0.2059,Iris-setosa
4.9923,3.6025,1.3439,0.2082,Iris-setosa
4.8873,3.4053,1.2834,0.2275,Iris-setosa
4.9398,3.5039,1.3136,0.2178,Iris-setosa
4.9051,3.486,1.4095,0.1938,Iris-setosa
5.3185,3.6032,1.5033,0.247,Iris-setosa
5.1118,3.5446,1.4564,0.2204,Iris-setosa
5.0245,3.6025,1.4347,0.1997,Iris-setosa
5.187,3.6197,1.253,0.2383,Iris-setosa
5.1057,3.6111,1.3438,0.219,Iris-setosa
5.3549,3.4387,1.4485,0.193,Iris-setosa
4.9609,3.4053,1.4018,0.152,Iris-setosa
5.1579,3.422,1.4251,0.1724,Iris-setosa
5.1255,3.6655,1.4536,0.2092,Iris-setosa
4.9504,3.6032,1.3511,0.2405,Iris-setosa
5.0379,3.6343,1.4023,0.2248,Iris-setosa
5.2494,3.6277,1.3477,0.1988,Iris-setosa
5.2028,3.4905,1.3984,0.2254,Iris-setosa
5.2261,3.5591,1.373,0.2121,Iris-setosa
5.2815,3.5301,1.3981,0.1956,Iris-setosa
5.3921,3.4245,1.253,0.2599,Iris-setosa
5.3368,3.4773,1.3255,0.2277,Iris-setosa
5.0474,3.486,1.3855,0.2017,Iris-setosa
5.0976,3.4328,1.4255,0.1693,Iris-setosa
5.0725,3.4594,1.4055,0.1855,Iris-setosa
5.2173,3.6435,1.4044,0.2091,Iris-setosa
5.2396,3.4548,1.5811,0.1876,Iris-setosa
5.2284,3.5491,1.4927,0.1983,Iris-setosa
5.1897,3.4608,1.3452,0.2042,Iris-setosa
5.3711,3.3915,1.2665,0.2211,Iris-setosa
5.2804,3.4261,1.3058,0.2126,Iris-setosa
4.9281,3.4072,1.4133,0.2024,Iris-setosa
