@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL
@ATTRIBUTE class 	{Iris-setosa,Iris-versicolor,Iris-virginica}

@DATA
5.1076,3.514,1.4056,0.201,Iris-setosa
5.1584,3.5125,1.4342,0.208,Iris-setosa
5.133,3.5132,1.4199,0.2045,Iris-setosa
5.103,3.508,1.4096,0.2016,Iris-setosa
5.1484,3.5006,1.4093,0.2025,Iris-setosa
5.1257,3.5043,1.4094,0.202,Iris-setosa
5.1102,3.5087,1.4047,0.2014,Iris-setosa
5.104,3.5051,1.4169,0.2029,Iris-setosa
5.1071,3.5069,1.4108,0.2021,Iris-setosa
5.129,3.5287,1.4035,0.2019,Iris-setosa
5.1525,3.5112,1.406,0.2041,Iris-setosa
5.1407,3.5199,1.4047,0.203,Iris-setosa
5.1132,3.5056,1.4071,0.2002,Iris-setosa
5.1373,3.5134,1.421,0.2055,Iris-setosa
5.1252,3.5095,1.414,0.2028,Iris-setosa
5.1081,3.5056,1.4064,0.2011,Iris-setosa
5.1432,3.5164,1.4033,0.2077,Iris-setosa
5.1256,3.511,1.4048,0.2044,Iris-setosa
5.1173,3.5063,1.4058,0.2004,Iris-setosa
5.1379,3.5183,1.4199,0.2082,Iris-setosa
5.1276,3.5123,1.4128,0.2042,Iris-setosa
5.1275,3.5105,1.4103,0.2008,Iris-setosa
5.128,3.5229,1.4105,0.2043,Iris-setosa
5.1277,3.5167,1.4104,0.2025,Iris-setosa
5.1056,3.5259,1.4002,0.2009,Iris-setosa
5.1584,3.5125,1.421,0.2001,Iris-setosa
5.132,3.5192,1.4106,0.2005,Iris-setosa
5.1464,3.5325,1.4064,0.201,Iris-setosa
5.1116,3.5039,1.43,0.2093,Iris-setosa
5.1289,3.5182,1.4182,0.2051,Iris-setosa
5.1407,3.5308,1.4093,0.2008,Iris-setosa
5.1379,3.5167,1.4007,0.2057,Iris-setosa
5.1393,3.5237,1.405,0.2032,Iris-setosa
5.1305,3.5182,1.4019,0.2019,Iris-setosa
5.128,3.5229,1.4244,0.2113,Iris-setosa
5.1292,3.5205,1.4131,0.2066,Iris-setosa
5.1204,3.5241,1.4098,0.2016,Iris-setosa
5.1064,3.5198,1.4236,0.2067,Iris-setosa
5.1134,3.5219,1.4167,0.2041,Iris-setosa
5.1372,3.5084,1.4035,0.201,Iris-setosa
5.1315,3.5015,1.4311,0.2092,Iris-setosa
5.1343,3.5049,1.4173,0.2051,Iris-setosa
5.1183,3.5094,1.4036,0.2019,Iris-setosa
5.1484,3.5045,1.4041,0.2103,Iris-setosa
5.1333,3.5069,1.4038,0.2061,Iris-setosa
5.1168,3.5245,1.4075,0.2007,Iris-setosa
5.1192,3.5131,1.4127,0.2107,Iris-setosa
5.118,3.5188,1.4101,0.2057,Iris-setosa
5.1499,3.5336,1.4103,0.2015,Iris-setosa
5.1514,3.5131,1.4165,0.2075,Iris-setosa
5.1506,3.5233,1.4134,0.2045,Iris-setosa
5.1163,3.5245,1.4089,0.201,Iris-setosa
5.1029,3.5238,1.4056,0.2052,Iris-setosa
5.1096,3.5241,1.4072,0.2031,Iris-setosa
5.1428,3.5332,1.404,0.2012,Iris-setosa
5.1467,3.5305,1.4319,0.201,Iris-setosa
5.1447,3.5318,1.4179,0.2011,Iris-setosa
5.1494,3.5003,1.4022,0.201,Iris-setosa
5.1438,3.5021,1.4139,0.2004,Iris-setosa
5.1465,3.5012,1.408,0.2007,Iris-setosa
5.1372,3.5133,1.4011,0.2004,Iris-setosa
5.156,3.5299,1.4172,0.2106,Iris-setosa
5.1465,3.5216,1.4091,0.2055,Iris-setosa
5.1122,3.5,1.4079,0.2013,Iris-setosa
5.1134,3.518,1.4082,0.2074,Iris-setosa
5.1128,3.509,1.408,0.2043,Iris-setosa
5.103,3.5297,1.4069,0.201,Iris-setosa
5.1508,3.5265,1.4112,0.2059,Iris-setosa
5.1269,3.5281,1.409,0.2034,Iris-setosa
5.1448,3.5252,1.4123,0.2004,Iris-setosa
5.1204,3.5253,1.4139,0.2111,Iris-setosa
5.1326,3.5252,1.4131,0.2057,Iris-setosa
5.1152,3.5301,1.411,0.2013,Iris-setosa
5.1426,3.5247,1.4067,0.2025,Iris-setosa
5.1289,3.5274,1.4088,0.2019,Iris-setosa
5.1413,3.535,1.4104,0.2011,Iris-setosa
5.1549,3.5183,1.4327,0.2009,Iris-setosa
5.148,3.5266,1.4215,0.201,Iris-setosa
5.1219,3.5217,1.4072,0.2004,Iris-setosa
5.1362,3.5268,1.4285,0.2026,Iris-setosa
5.129,3.5242,1.4178,0.2015,Iris-setosa
5.1137,3.5192,1.4044,0.2012,Iris-setosa
5.1496,3.5048,1.4018,0.2118,Iris-setosa
5.1316,3.512,1.4031,0.2065,Iris-setosa
5.1387,3.5168,1.4127,0.2007,Iris-setosa
5.1035,3.5284,1.412,0.2113,Iris-setosa
5.1211,3.5226,1.4123,0.206,Iris-setosa
5.1316,3.5112,1.4092,0.2006,Iris-setosa
5.121,3.5033,1.4308,0.2073,Iris-setosa
5.1263,3.5072,1.42,0.2039,Iris-setosa
5.105,3.515,1.4014,0.2003,Iris-setosa
5.1333,3.5161,1.4131,0.2069,Iris-setosa
5.1191,3.5155,1.4072,0.2036,Iris-setosa
5.1255,3.5056,1.4008,0.2017,Iris-setosa
5.1572,3.5225,1.4142,0.2044,Iris-setosa
5.1413,3.514,1.4075,0.203,Iris-setosa
5.1178,3.5,1.4016,0.2009,Iris-setosa
5.1268,3.5235,1.4289,0.2009,Iris-setosa
5.1223,3.5117,1.4152,0.2009,Iris-setosa
5.1076,3.5003,1.4092,0.2014,Iris-setosa
5.1216,3.5256,1.4214,0.2111,Iris-setosa
5.1145,3.5129,1.4153,0.2062,Iris-setosa
5.1117,3.5245,1.4096,0.2007,Iris-setosa
5.104,3.518,1.4045,0.2013,Iris-setosa
5.1078,3.5212,1.407,0.201,Iris-setosa
5.1458,3.5206,1.4046,0.2019,Iris-setosa
5.1385,3.5158,1.406,0.2088,Iris-setosa
5.1421,3.5182,1.4053,0.2053,Iris-setosa
5.1326,3.5056,1.4074,0.2006,Iris-setosa
5.1029,3.528,1.4056,0.2002,Iris-setosa
5.1177,3.5168,1.4064,0.2004,Iris-setosa
5.1351,3.5259,1.4025,0.2019,Iris-setosa
5.156,3.5103,1.4323,0.2058,Iris-setosa
5.1455,3.5181,1.4174,0.2038,Iris-setosa
5.1,3.5007,1.4102,0.2012,Iris-setosa
5.1216,3.5067,1.4323,0.2022,Iris-setosa
5.1107,3.5037,1.4212,0.2017,Iris-setosa
5.1168,3.501,1.4071,0.2006,Iris-setosa
5.1502,3.51,1.4353,0.2031,Iris-setosa
5.1335,3.5054,1.4212,0.2018,Iris-setosa
5.1504,3.5056,1.4018,0.2008,Iris-setosa
5.1373,3.51,1.4169,0.2068,Iris-setosa
5.1438,3.5077,1.4093,0.2038,Iris-setosa
5.1249,3.5266,1.404,0.2011,Iris-setosa
5.1192,3.5015,1.4048,0.202,Iris-setosa
5.122,3.514,1.4043,0.2015,Iris-setosa
5.1402,3.5269,1.4048,0.2009,Iris-setosa
5.114,3.5079,1.4109,0.2055,Iris-setosa
5.1271,3.5174,1.4078,0.2032,Iris-setosa
5.1066,3.5227,1.4033,0.2003,Iris-setosa
5.1444,3.5161,1.4015,0.2112,Iris-setosa
5.1255,3.5194,1.4024,0.2057,Iris-setosa
5.1061,3.5084,1.403,0.2017,Iris-setosa
5.1321,3.5073,1.4116,0.2082,Iris-setosa
5.119,3.5078,1.4073,0.2049,Iris-setosa
5.1224,3.5049,1.4009,0.201,Iris-setosa
5.152,3.5195,1.4248,0.2047,Iris-setosa
5.1372,3.5122,1.4128,0.2028,Iris-setosa
5.1076,3.5112,1.4008,0.2004,Iris-setosa
5.121,3.5229,1.4345,0.2074,Iris-setosa
5.1143,3.517,1.4176,0.2039,Iris-setosa
5.1112,3.5129,1.4071,0.2002,Iris-setosa
5.152,3.5287,1.4124,0.2059,Iris-setosa
5.1316,3.5208,1.4097,0.203,Iris-setosa
5.1214,3.5014,1.4019,0.2003,Iris-setosa
5.1333,3.5177,1.4105,0.2046,Iris-setosa
5.1273,3.5095,1.4062,0.2024,Iris-setosa
5.1122,3.5084,1.414,0.2013,Iris-setosa
5.1233,3.5015,1.4067,0.2057,Iris-setosa
5.1177,3.5049,1.4103,0.2035,Iris-setosa
5.1484,3.5168,1.4019,0.2008,Iris-setosa
5.1064,3.5167,1.4368,0.2101,Iris-setosa
5.1274,3.5167,1.4193,0.2054,Iris-setosa
5.127,3.5133,1.4103,0.2016,Iris-setosa
5.1157,3.5045,1.4233,0.2026,Iris-setosa
5.1213,3.5089,1.4168,0.2021,Iris-setosa
5.1255,3.5192,1.4072,0.2011,Iris-setosa
5.1227,3.5158,1.4323,0.2034,Iris-setosa
5.1241,3.5175,1.4197,0.2022,Iris-setosa
5.1377,3.5007,1.4058,0.2015,Iris-setosa
5.107,3.5216,1.4169,0.2059,Iris-setosa
5.1223,3.5111,1.4113,0.2037,Iris-setosa
5.1265,3.507,1.4058,0.2006,Iris-setosa
5.1338,3.5296,1.4161,0.2109,Iris-setosa
5.1301,3.5183,1.4109,0.2057,Iris-setosa
5.1122,3.5217,1.4082,0.2004,Iris-setosa
5.1111,3.5137,1.406,0.2091,Iris-setosa
5.1116,3.5177,1.407,0.2047,Iris-setosa
5.1316,3.5336,1.4086,0.2014,Iris-setosa
5.1391,3.5119,1.4052,0.2026,Iris-setosa
5.1353,3.5227,1.4069,0.202,Iris-setosa
5.104,3.5042,1.402,0.2004,Iris-setosa
5.1075,3.5125,1.4026,0.2008,Iris-setosa
5.1057,3.5083,1.4022,0.2006,Iris-setosa
5.1198,3.5346,1.4061,0.2019,Iris-setosa
5.1029,3.5137,1.4218,0.2062,Iris-setosa
5.1113,3.5241,1.4139,0.204,Iris-setosa
5.1086,3.521,1.4135,0.2002,Iris-setosa
5.1572,3.5012,1.436,0.2013,Iris-setosa
5.1328,3.5111,1.4247,0.2007,Iris-setosa
5.1372,3.5308,1.4114,0.2,Iris-setosa
5.1444,3.5146,1.418,0.2074,Iris-setosa
5.1408,3.5227,1.4146,0.2037,Iris-setosa
5.1035,3.5112,1.4112,0.202,Iris-setosa
5.1122,3.5296,1.424,0.2101,Iris-setosa
5.1078,3.5204,1.4176,0.206,Iris-setosa
5.1066,3.528,1.4035,0.2012,Iris-setosa
5.1297,3.5287,1.406,0.205,Iris-setosa
5.1181,3.5283,1.4047,0.2031,Iris-setosa
5.1045,3.5329,1.4072,0.2018,Iris-setosa
5.1414,3.5091,1.4109,0.2001,Iris-setosa
5.1229,3.521,1.409,0.2009,Iris-setosa
5.1464,3.521,1.4077,0.2008,Iris-setosa
5.1192,3.5051,1.4063,0.2106,Iris-setosa
5.1327,3.513,1.407,0.2057,Iris-setosa
5.1015,3.5154,1.41,0.2001,Iris-setosa
5.1011,3.5189,1.4206,0.2038,Iris-setosa
5.1013,3.5171,1.4153,0.2019,Iris-setosa
5.1464,3.508,1.4051,0.2016,Iris-setosa
5.1438,3.5177,1.4184,0.2037,Iris-setosa
5.145,3.5128,1.4117,0.2026,Iris-setosa
5.1152,3.507,1.4085,0.201,Iris-setosa
5.1175,3.5006,1.418,0.2015,Iris-setosa
5.1163,3.5038,1.4132,0.2012,Iris-setosa
5.1443,3.515,1.4088,0.2003,Iris-setosa
5.1157,3.5192,1.4075,0.2115,Iris-setosa
5.13,3.5171,1.4081,0.2059,Iris-setosa
5.1229,3.5266,1.4085,0.2019,Iris-setosa
5.1227,3.5119,1.4037,0.2056,Iris-setosa
5.1228,3.5192,1.406,0.2037,Iris-setosa
5.1311,3.5049,1.4128,0.2002,Iris-setosa
5.1146,3.5149,1.4169,0.2112,Iris-setosa
5.1228,3.5099,1.4148,0.2057,Iris-setosa
5.1244,3.5035,1.4064,0.2005,Iris-setosa
5.135,3.5192,1.4202,0.2117,Iris-setosa
5.1297,3.5113,1.4133,0.2061,Iris-setosa
5.1423,3.5213,1.4018,0.2004,Iris-setosa
5.1303,3.5152,1.4101,0.2091,Iris-setosa
5.1363,3.5182,1.4059,0.2047,Iris-setosa
5.1453,3.5346,1.4037,0.2013,Iris-setosa
5.1198,3.5229,1.4225,0.2057,Iris-setosa
5.1325,3.5287,1.4131,0.2035,Iris-setosa
5.1005,3.5343,1.4047,0.2005,Iris-setosa
5.1251,3.507,1.4056,0.2116,Iris-setosa
5.1128,3.5206,1.4051,0.206,Iris-setosa
5.1198,3.5133,1.4072,0.2001,Iris-setosa
5.1175,3.5006,1.4011,0.2111,Iris-setosa
5.1186,3.5069,1.4041,0.2056,Iris-setosa
5.103,3.5098,1.4088,0.2015,Iris-setosa
5.1327,3.525,1.4323,0.2103,Iris-setosa
5.1178,3.5174,1.4205,0.2059,Iris-setosa
5.1311,3.5087,1.4044,0.2003,Iris-setosa
5.1303,3.5021,1.4116,0.2095,Iris-setosa
5.1307,3.5054,1.408,0.2049,Iris-setosa
5.1433,3.5154,1.414,0.2014,Iris-setosa
5.1081,3.5177,1.4293,0.2082,Iris-setosa
5.1257,3.5165,1.4216,0.2047,Iris-setosa
5.1321,3.5346,1.402,0.2007,Iris-setosa
5.104,3.5244,1.4082,0.2009,Iris-setosa
5.118,3.5295,1.4051,0.2007,Iris-setosa
5.13,3.5091,1.4041,0.2011,Iris-setosa
5.1058,3.5088,1.4124,0.2093,Iris-setosa
5.1179,3.5089,1.4082,0.2052,Iris-setosa
5.1265,3.5091,1.4015,0.2002,Iris-setosa
5.1186,3.5027,1.4097,0.2075,Iris-setosa
5.1225,3.5059,1.4056,0.2038,Iris-setosa
5.1249,3.5098,1.4026,0.2006,Iris-setosa
5.1029,3.5131,1.4056,0.2063,Iris-setosa
5.1139,3.5114,1.4041,0.2034,Iris-setosa
5.1255,3.5119,1.4053,0.2002,Iris-setosa
5.107,3.5134,1.4236,0.2099,Iris-setosa
5.1162,3.5126,1.4144,0.205,Iris-setosa
5.1234,3.5007,1.4103,0.2,Iris-setosa
5.1099,3.5122,1.4251,0.2047,Iris-setosa
5.1166,3.5064,1.4177,0.2023,Iris-setosa
5.1061,3.5038,1.4037,0.2017,Iris-setosa
5.1052,3.5061,1.4172,0.2112,Iris-setosa
5.1056,3.5049,1.4104,0.2064,Iris-setosa
5.1346,3.5283,1.4128,0.2016,Iris-setosa
5.1467,3.5287,1.4263,0.2038,Iris-setosa
5.1406,3.5285,1.4195,0.2027,Iris-setosa
5.128,3.5318,1.4081,0.2003,Iris-setosa
5.1356,3.5137,1.4244,0.2019,Iris-setosa
5.1318,3.5227,1.4162,0.2011,Iris-setosa
5.1413,3.5248,1.4133,0.2,Iris-setosa
5.1362,3.5293,1.436,0.2046,Iris-setosa
5.1387,3.527,1.4246,0.2023,Iris-setosa
5.1407,3.5003,1.4112,0.2007,Iris-setosa
5.1268,3.5,1.4109,0.2081,Iris-setosa
5.1337,3.5001,1.411,0.2044,Iris-setosa
5.1056,3.5224,1.4081,0.2011,Iris-setosa
5.1426,3.5149,1.4093,0.2022,Iris-setosa
5.1241,3.5186,1.4087,0.2016,Iris-setosa
