@RELATION seeds

@ATTRIBUTE area	REAL
@ATTRIBUTE perimeter	REAL
@ATTRIBUTE compactness	REAL
@ATTRIBUTE kernel_length	REAL
@ATTRIBUTE kernel_width	REAL
@ATTRIBUTE asymmetry	REAL
@ATTRIBUTE kernel_groove_length	REAL
@ATTRIBUTE class {1,2,3}

@DATA
15.0402,14.84,0.8333,5.4932,3.3318,2.1756,5.0007,1
14.4938,14.6478,0.9222,5.4522,3.4723,2.443,5.3627,1
14.767,14.7439,0.8777,5.4727,3.402,2.3093,5.1817,1
14.9303,14.2345,0.8208,6.0257,3.2802,2.125,5.0571,1
14.6898,15.0321,0.85,5.9183,3.2103,2.2298,5.4211,1
14.81,14.6333,0.8354,5.9719,3.2452,2.1774,5.2391,1
14.8205,14.1989,0.9222,5.6938,3.1768,2.1623,4.9318,1
15.1887,15.137,0.9013,5.6819,3.2103,2.1277,5.194,1
15.0046,14.6679,0.9117,5.6878,3.1935,2.145,5.0629,1
15.8459,13.9852,0.873,5.6246,3.4391,2.0957,5.4517,1
16.0617,15.5388,0.9107,5.6279,3.2337,2.3719,5.0058,1
15.9538,14.762,0.8918,5.6262,3.3364,2.2338,5.2287,1
16.1206,15.3208,0.9148,6.0534,3.2086,2.109,5.1573,1
15.6698,14.2285,0.8542,5.7157,3.3198,2.1055,5.2913,1
15.8952,14.7746,0.8845,5.8845,3.2641,2.1072,5.2242,1
16.0291,15.0893,0.8448,5.7699,3.3517,2.2316,5.0383,1
14.9749,15.6611,0.9034,5.6886,3.136,2.1544,5.486,1
15.502,15.3752,0.8741,5.7292,3.2438,2.1929,5.2621,1
15.1318,15.2852,0.871,5.4448,3.3,2.101,5.3953,1
15.7588,15.3466,0.8699,5.6481,3.3432,2.2742,5.5315,1
15.4453,15.3159,0.8704,5.5464,3.3216,2.1875,5.4634,1
15.205,15.5167,0.8866,5.5762,3.4073,2.1277,4.9819,1
14.8323,14.1062,0.8824,5.7765,3.2259,2.3186,5.3952,1
15.0186,14.8114,0.8845,5.6763,3.3166,2.2231,5.1885,1
15.3698,14.2345,0.8636,5.7837,3.3398,2.165,5.483,1
14.8501,14.7875,0.8511,5.9453,3.4606,2.2565,4.9149,1
15.1099,14.511,0.8573,5.8644,3.4002,2.2107,5.1989,1
15.2416,14.6797,0.9148,5.5071,3.1728,2.1437,5.1197,1
15.7232,15.0671,0.8354,5.7224,3.3628,2.4341,5.5444,1
15.4824,14.8734,0.8751,5.6147,3.2678,2.2889,5.332,1
14.6557,15.0358,0.9201,5.6039,3.3875,2.221,5.4517,1
15.349,15.1544,0.9044,5.6279,3.3863,2.0256,5.207,1
15.0023,15.0951,0.9122,5.6159,3.3869,2.1233,5.3293,1
14.3993,14.8221,0.8678,5.7076,3.3557,2.2529,4.9067,1
15.9548,14.0363,0.8323,5.8305,3.3745,1.999,5.1031,1
15.177,14.4292,0.85,5.769,3.3651,2.1259,5.0049,1
15.8459,14.4304,0.8333,6.0742,3.3159,2.165,5.4517,1
16.0617,15.3466,0.873,6.0804,3.3823,2.07,5.4211,1
15.9538,14.8885,0.8531,6.0773,3.3491,2.1174,5.4364,1
14.8205,14.2167,0.9232,5.6039,3.2841,2.2743,5.126,1
15.2778,14.8924,0.9232,5.4522,3.2103,2.0611,5.2848,1
15.0491,14.5545,0.9232,5.528,3.2472,2.1677,5.2054,1
14.6557,15.4098,0.8532,5.5417,3.4868,2.1863,5.5081,1
14.7432,14.9622,0.8563,5.8305,3.3432,2.0833,5.2264,1
14.6994,15.186,0.8547,5.6861,3.415,2.1348,5.3672,1
14.3627,15.5523,0.8647,5.6523,3.2484,2.3302,5.0508,1
15.1709,14.2984,0.8291,5.8913,3.4449,2.2032,5.4536,1
14.7668,14.9253,0.8469,5.7718,3.3466,2.2667,5.2522,1
15.26,15.2673,0.8239,5.6661,3.4113,2.2636,5.364,1
16.0439,14.9098,0.9222,5.5063,3.3471,2.4296,5.0382,1
15.6519,15.0885,0.873,5.5862,3.3792,2.3466,5.2011,1
15.8459,15.481,0.9201,5.763,3.4789,2.1063,5.458,1
15.8479,14.8924,0.918,5.4995,3.2728,2.2831,5.1031,1
15.8469,15.1867,0.919,5.6312,3.3758,2.1947,5.2805,1
15.9009,14.3948,0.8939,5.756,3.3636,2.173,5.0258,1
14.6007,14.508,0.8689,5.898,3.4958,2.3542,5.4406,1
15.2508,14.4514,0.8814,5.827,3.4297,2.2636,5.2332,1
14.4359,14.1989,0.8584,5.597,3.3318,2.1277,5.2889,1
15.0461,15.5213,0.9002,5.5873,3.3159,2.07,4.9928,1
14.741,14.8601,0.8793,5.5921,3.3238,2.0988,5.1408,1
14.8022,15.4988,0.8877,5.7215,3.1768,2.1357,5.4705,1
15.6698,15.5213,0.8992,5.4657,3.3706,2.292,5.181,1
15.236,15.51,0.8934,5.5936,3.2737,2.2138,5.3257,1
15.9558,14.9646,0.8762,5.8736,3.3716,2.2556,5.151,1
15.8301,14.5954,0.896,5.8035,3.4488,2.1366,5.1615,1
15.8929,14.78,0.8861,5.8385,3.4102,2.1961,5.1562,1
14.7289,15.3742,0.9044,5.7145,3.3914,2.1143,5.483,1
15.3134,13.9664,0.8678,5.7967,3.398,2.0034,5.2913,1
15.0211,14.6703,0.8861,5.7556,3.3947,2.0588,5.3871,1
14.7289,15.392,0.8689,5.5417,3.2126,2.1303,5.0446,1
14.4582,14.4556,0.8919,5.5468,3.2455,2.1721,5.2329,1
14.5935,14.9238,0.8804,5.5442,3.229,2.1512,5.1387,1
15.0036,14.7153,0.8563,5.5209,3.2404,2.3515,5.032,1
15.5807,15.4165,0.9044,5.9994,3.484,1.999,5.1615,1
15.2921,15.0659,0.8803,5.7601,3.3622,2.1752,5.0967,1
14.912,15.4632,0.8532,5.8805,3.3398,2.1197,5.0634,1
15.4025,14.2285,0.9148,5.9723,3.1712,2.4296,5.0253,1
15.1572,14.8458,0.8839,5.9263,3.2554,2.2746,5.0443,1
15.1318,14.1454,0.8187,5.7076,3.459,2.3515,5.3703,1
15.545,15.3117,0.8699,5.513,3.1203,2.3897,4.9539,1
15.3384,14.7285,0.8443,5.6103,3.2896,2.3706,5.1621,1
15.5163,15.3564,0.8793,5.4656,3.1967,2.165,5.3703,1
15.1352,15.3291,0.9054,5.6751,3.2963,2.1544,5.2654,1
15.3257,15.3427,0.8923,5.5703,3.2465,2.1597,5.3178,1
14.9303,14.7509,0.8866,6.0811,3.4868,2.1783,5.2701,1
15.5094,14.2984,0.896,5.9994,3.2924,2.0744,5.181,1
15.2198,14.5246,0.8913,6.0402,3.3896,2.1263,5.2255,1
15.7544,15.481,0.8354,5.5831,3.2722,2.117,5.2951,1
14.7254,15.2243,0.8459,5.6279,3.3823,2.1233,5.525,1
15.2399,15.3526,0.8406,5.6055,3.3272,2.1201,5.41,1
15.1501,15.7125,0.8751,5.4448,3.2643,2.2449,5.1135,1
14.9571,14.8225,0.873,6.0264,3.4879,2.1588,5.5315,1
15.0536,15.2675,0.874,5.7356,3.3761,2.2018,5.3225,1
15.2416,14.6975,0.848,5.7491,3.4709,2.3515,5.5018,1
15.3847,14.4731,0.8595,5.9859,3.3471,2.4385,5.486,1
15.3131,14.5853,0.8537,5.8675,3.409,2.395,5.4939,1
15.3332,14.5016,0.9002,5.7975,3.4034,2.3249,5.2763,1
16.0083,14.0712,0.8344,5.6751,3.2142,2.2076,5.4341,1
15.6707,14.2864,0.8673,5.7363,3.3088,2.2662,5.3552,1
14.4359,14.7509,0.9222,5.4379,3.467,2.3009,5.3264,1
16.0617,14.4032,0.8584,5.8913,3.1321,2.2387,5.3562,1
15.2488,14.577,0.8903,5.6646,3.2995,2.2698,5.3413,1
15.3149,14.8578,0.9117,5.6385,3.1808,2.2769,5.0947,1
16.0974,15.6261,0.9023,5.6549,3.484,2.4385,4.9409,1
15.7061,15.2419,0.907,5.6466,3.3324,2.3577,5.0177,1
15.4431,15.1427,0.8856,5.5002,3.4073,2.2023,4.9067,1
14.9749,15.0845,0.8647,6.0331,3.3237,2.0789,5.1551,1
15.209,15.1136,0.8751,5.7666,3.3655,2.1406,5.0309,1
14.7472,15.1249,0.8187,5.5278,3.1728,2.149,5.2325,1
15.7945,15.2767,0.8908,5.4928,3.2728,2.443,5.5055,1
15.2708,15.2008,0.8547,5.5103,3.2228,2.296,5.369,1
14.8937,15.3386,0.8657,6.0603,3.2205,2.2289,4.9819,1
14.4047,14.1586,0.8187,5.7562,3.2024,2.443,5.2848,1
14.6492,14.7486,0.8422,5.9082,3.2114,2.3359,5.1333,1
15.2233,15.7304,0.8824,5.7007,3.1172,2.3196,5.3515,1
15.545,14.211,0.8438,5.9791,3.1829,2.4385,5.5185,1
15.3841,14.9707,0.8631,5.8399,3.15,2.379,5.435,1
14.6557,13.9496,0.9034,6.0119,3.2325,2.1517,5.483,1
15.937,14.8225,0.9013,5.7157,3.3237,2.252,5.4276,1
15.2963,14.386,0.9023,5.8637,3.2781,2.2018,5.4552,1
14.5458,14.4126,0.8553,5.7145,3.3557,2.2156,5.3703,1
15.741,14.6303,0.9065,6.0669,3.4175,2.2698,5.512,1
15.1434,14.5214,0.8809,5.8907,3.3866,2.2427,5.4411,1
14.4176,15.4454,0.9138,5.5278,3.312,2.157,5.2387,1
15.1352,14.6827,0.8448,5.6819,3.398,2.3586,5.5315,1
14.7764,15.064,0.8793,5.6048,3.355,2.2578,5.385,1
15.0768,14.0386,0.8668,5.5693,3.3835,2.1143,5.2012,1
15.9905,14.5255,0.8595,5.6819,3.2142,2.0256,4.9344,1
15.5336,14.282,0.8631,5.6256,3.2988,2.0699,5.0678,1
15.2966,15.1071,0.8229,5.6316,3.1172,2.2023,5.4517,1
15.7945,15.0845,0.8354,5.4387,3.4136,2.3542,5.3368,1
15.5455,15.0958,0.8291,5.5351,3.2654,2.2782,5.3942,1
15.5529,14.3413,0.8877,5.7145,3.3477,2.2769,5.0508,1
14.7611,14.1411,0.8835,5.7562,3.4293,2.0434,5.2589,1
15.157,14.2412,0.8856,5.7353,3.3885,2.1601,5.1548,1
15.6994,14.1811,0.8678,5.7491,3.2802,2.1517,4.9443,1
15.6341,14.2285,0.9096,5.8102,3.3902,2.3231,5.0382,1
15.6667,14.2048,0.8887,5.7796,3.3352,2.2374,4.9912,1
15.8093,15.4632,0.9054,6.1018,3.2285,2.1996,5.3014,1
15.8657,15.3641,0.9232,6.0737,3.1829,2.1277,5.3757,1
15.8375,15.4136,0.9143,6.0877,3.2057,2.1636,5.3385,1
14.4908,14.7509,0.8793,5.4794,3.3875,2.2849,5.2638,1
14.8501,14.8749,0.8887,5.8575,3.1594,2.3275,5.194,1
14.6704,14.8129,0.884,5.6684,3.2734,2.3062,5.2288,1
16.1572,15.7125,0.8689,5.4241,3.455,2.3222,5.3891,1
